FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	MORE_ABOUT_THIS_EVENT	More about this Event	Pour en savoir plus sur cet Evénement	Ver más acerca de este evento	Lebih lanjut untuk Peristiwa ini	ពត៌មាន​​ច្រើន​ទៀត​អំពី​ព្រឹត្តិការណ៍​នេះ	المزيد عن هذا الحدث	Bu Olay hakkında daha fazla bilgi	Rohkem selle Sündmuse kohta	Еще об этом событии	მოცემული შემთხევევის შესახებ უფრო მეტი ინფორმაცია	Esemény részletei	Di più su questo Evento	Više o ovom događaju	更多关于此事件	Mehr über dieses Ereignis
PHP	MORE_ABOUT_THIS_PERSON	More about this Person	Plus sur cette Personne	Ver más acerca de esta persona	Lebih jauh tentang orang ini	ពត៌មាន​ច្រើន​ទៀត​អំពី​បុគ្គល​នេះ	المزيد عن هذا الشخص	Bu Kişi hakkında daha fazla bilgi	Rohkem selle Isiku kohta	Еще об этом человеке	მოცემული პირის  შესახებ უფრო მეტი ინფორმაცია	Személy részletei	Di più  su questa Persona	Više o ovoj osobi	更多关于此人士	Mehr über diese Person
PHP	MY_PREFERENCES	My Preferences	Mes préférences	Mis preferencias	Preferensi saya	ការជ្រើសរើស​របស់​ខ្ញុំ	تفضيلاتي	Tercihlerim	Minu eelistused	Мои настройки	ჩემი პრეფერენციები	Beállításaim	Mie Preferenze	Moje preferencije	我的设置	Meine Präferenzen
PHP	MYSQL_DATA_TYPE	Mysql data type	Type de données Mysql	Tipo de datos Mysql	Jenis data mysql	Mysql data type	نوع بيانات Mysql	Mysql bilgi türü	Mysql andmete tüüp	Тип данных mysql	Mysql მონაცემთა ტიპი	MYSQL adattípus	Tipo dati Mysql	Vrsta Mysql podataka 	Mysql 数据类型	Mysql Daten Typ
PHP	NAME	Name	Nom	Nombre	Nama	ឈ្មោះ	الاسم	İsim	Nimi	Имя	სახელი	Név	Nome	Ime	名字	Name
PHP	NEW	New	Nouveau	Nueva	Baru	New	جديد	Yeni	Uus	Новый	ახალი	Új	Nuovo	Novo	新的	Neu
PHP	NEW_DOCUMENT	New Document	Nouveau Document	Nuevo documento	Dokumen Baru	ឯកសារ​ថ្មី	وثيقة جديدة	Yeni Belge	Uus Dokument	Новый документ	ახალი დოკუმენტი	Új dokumentum	Nuovo Documento	Novi dokument	新文件	neues Dokument
PHP	NEW_EVENT	New Event	Nouvel Evénement	Nuevo evento	Peristiwa Baru	ព្រឹត្តិការណ៍​ថ្មី	حدث جديد	Yeni Olay	Uus Sündmus	Новое событие	ახალი შემთხვევა	Új esemény	Nuovo Evento	Novi događaj	新事件	neues Ereignis
PHP	NEW_PASSWORD	New Password	Nouvelle mot de passe	Nueva contraseña	Kata Sandi	លេខ​សំងាត់​ថ្មី	كلمة مرور جديدة	Yeni Şifre	Uus parool	Новый пароль	ახალი პაროლი	Új jelszó	Nuova Password	Nova lozinka	新密码	neues Passwort
PHP	NEW_PERSON	New Person	Nouvelle Personne	Nueva persona	Orang Baru	បុគ្គល​ថ្មី	شخص جديد	Yeni Kişi	Uus Isik	Новый человек	ახალი პირი	Új személy	Nuova Persona	Nova osoba	新人士	neue Person
PHP	NEW_ROLE_NAME	New Role Name	Nom du nouveau Rôle	Nuevo nombre de actividad	Nama Role Baru	ឈ្មោះ​តួនាទី​ថ្មី	اسم دور جديد	Yeni Rol Adı	Uue Rolli nimi	Новое название роли	ახალი როლის სახელი	Új szerep név	Nuovo Nome del Ruolo	Novo ime uloge	新角色名字	neuer Funktionsname
PHP	NEXT	Next	Suivant	Siguiente	Lanjut	បន្ទាប់	التالي	Devam	Järgmine	Следующий	შემდეგი	Következő	Successivo	Sledeće	下一个	nächstes
PHP	NO	No	Non	No	Tidak	អត់ទេ	لا	Hayır	Ei	Нет	არა	Nem	No	Ne	不是	no
PHP	NO_QUERIES_SAVED_YET_	No queries saved yet.	Aucune requête sauvée	Todavía no se guardó ninguna consulta	Tidak ada pertanyaan yang disimpan.	អត់​មានបញ្ជី​សំណួរ​ណា​ត្រូវ​បាន​​រក្សា​ទុក​ទេ	لم يتم حفظ  اية استفسارات بعد	Kaydedilmiş bir sorgu yok.	Päringuid ei ole veel salvestatud.	Пока что нет сохраненных запросов.	კითხვები ჯერჯერობით არ არის შენახული	Nincsenek mentett lekérdezések.	Le queries non sono state ancora salvate	Ne postoji sačuvana pretraga.	还没有查询纪录被保存	Keine Rückfragen bisher gespeichert
PHP	NO_RECORDS_WERE_FOUND_	No records were found.	Aucun enregistrement n'a été trouvée.	No se encontraron registros	Tidak ada catatan ditemukan	រក​មិន​ឃើញ​ករណី​នេះ​ទេ	لم يتم العثور على سجلات	Kayıt bulunamadı.	Kirjeid ei leitud.	Не найдено ни одной записи.	ჩანაწერები არ იქნა ნაპოვნი	Nincs adat.	Non sono state trovate registrazioni	Nije postoji sačuvana beleška.	没有纪录。	Keine Einträge gefunden.
PHP	NO_RECORDS_WERE_SELECTED_	No records were selected.	Aucune fiche n'a été sélectionnée.	No se seleccionó ningún registro	Tidak ada catatan yang dipilih	មិនទាន់​ជ្រើស​រើស​កំណត់​ត្រា​នៅ​ឡើយ​ទេ	لم يتم اختيار سجلات	Kayıt seçilmedi.	Kirjeid ei valitud	Ни одна запись не была выбрана.	ჩანაწერები არ შერჩეულა	Nincs kiválasztott adat.	Nessuna registrazione è stato selezionata	Niste izabrali belešku	没有记录被选中。	Keine Einträge ausgewählt.
JS	NOT_=	not =	pas =	no =	bukan =	មិន​ស្មើរ​នឹង	لا =	değil =	mitte =	не =	არა=	nem =	no=	nije=	不是＝	Not =
PHP	NOT_A_VALID_FIELD_TYPE__TRY_AGAIN	Not a valid field type. Try again	Pas un type de champ valide. Essayez de nouveau	Tipo de campo inválido. Intente nuevamente	Jenis field tidak sesuai, silahkan coba lagi	មិន​មែន​ជា​ប្រទេភ​ខ្ទង់​ត្រឹម​ត្រូវ​ទេ	نوع الخانة غير صحيح. حاول مرة أخرى	Geçerli bir alan türü değil. Tekrar deneyin.	Ei ole lubatud välja tüüp. Proovi uuesti	Неправильный тип поля. Попробуйте снова	არასწორი მინდვრის ტიპი. სცადეთ თავიდან	Érvénytelen fájltípus. Próbáld újra.	Tipo di campo non valido. Prova di nuovo	Neispravna vrsta polja. Pokušajte ponovo	没有此栏目类型。重试	Keine gültige Feldart. Probiere es erneut.
JS	NOT_CONTAINS	not contains	ne contient pas	no contiene	Tidak mengandung	មិនមាន​ផ្ទុក​ដោយ	لا يحتوي على	içermeyen	ei sisalda	не содержит	არ შეიცავს	nem tartalmazza	Non contiene	ne sadrži	不要包含	beinhaltet nicht
JS	NOT_IN_BETWEEN	not in between	n'est pas entre	no entre	Tidak dalam antara	មិន​នៅ​ក្នុង​ចន្លោះ	لا يقع بين	arasında olmayan	ei ole vahel	не в интервале	არა შორის	nem közte	Non tra	ne između	不要在两者之间	nicht dazwischen
JS	NOT_LIKE	not like	n'est pas comme	no como	Tidak seperti	មិន​ដូច	لا يشبه	benzer değil	ei ole nagu	не как	არ მოწონება	nem úgy, mint	Non mi piace	ne kao	不要像	nicht wie
JS	NOT_ON	not on	pas au	no en	Tidak pada	មិន​មែន​ជា	ليس على	olmayan	ei ole peal	не в	არა ზე	nem	Non su	ne na	不要在	nicht auf
PHP	NUMBER_REQUIRED__INVALID_NUMBER	Number required, Invalid Number	Numéro nécessaire, numéro non valide	Es necesario que ingrese un número. Número no válido	Nomor dibutuhkan, Nomor tidak sesuai	ចាំ​បាច់​ត្រូវ​មាន​លេខ​ លេខ​មិន​ត្រឹម​ត្រូវ	الرقم مطلوب، الرقم غير صحيح	Rakam girmelisiniz, Geçersiz Rakam	Number nõutud, vigane number	Необходимо ввести число, Неправильное число	მოთხოვნილი ნომერი, არასწორი ნომერი	Szám kötelező, érvénytelen szám	Numero richiesto, Numero non valido	Potreban broj, nevalidan broj	号码无效，需要号码	Nummer erforderlich, ungültige Nummer
PHP	OPENEVSYS_HAS_SUCCESSFULLY_IMPORTED_THE_DATA_	OpenEvSys has successfully imported the data.	OpenEvSys a réussi à importer les données.	OpenEvSys importó los datos correctamente	OpenEvSys telah sukses mengimpor data	អូផែន​អែវស៊ីស​បាន​នាំ​យក​ទិន្ន​ន័យ​នេះ​មក​ជា​ស្ថាពរ​ហើយ។	قام OpenEvSys بجلب البيانات بنجاح	Veritabanı bilgiyi başarıyla içeri aktardı.	OpenEvSys importis andmed edukalt.	OpenEvSys успешно импортировал данные.	OpenEvSys-მა წარმატებით შეიყვანა მონაცემები.	OpenEvSys sikeresen importálta az adatot.	OpenEvSys ha importato il dato con successo	OpenEvSys je uspešno uvezao podatke	OpenEvSys 已成功导入数据。	OpenEvSys hat die Daten erfolgreich exportiert.
JS	OR	OR	OU	O	ATAU	ឬ	او	VEYA	VÕI	ИЛИ	ან	OR	O	ILI	或	oder
PHP	ORDER	Order	Ordre	Orden	Aturan	លំដាប់	التَرْتِيب	Sırala	Järjesta	Упорядочить	შეკვეთა	Sorrend	Ordina	Uredi	顺序	Reihenfolge
PHP	ORGANIZATION	Organization	Organisation	Organización	Organisasi	អង្គការ	التنظيم	Organizasyon	Organisatsioon	Организация	ორგანიზაცია	Szervezet	Organizzazione	Organizacija	结构／组织	Organisation
PHP	ORIGINAL_SEARCH_RESULTS	Original Search Results	Résultats de recherche originaux	Resultados de la búsqueda inicial	Hasil Pencarian Awal	លទ្ធផលនៃ​ការ​ស្វែង​រក​ពី​ដំបូង	نتائج البحث الأصلي	Orijinal Arama Sonuçları	Esialgsed Otsingu tulemused	Исходные результаты поиска	საწყისი ძიების შედეგები	Eredeti keresési eredmények	Ricerca Risultati Originale	Prvobitni rezultati pretrage	原始搜索结果	Original Suchergebnisse
PHP	PAGE__	Page :	page :	Página:	Halaman:	ទំព័រ	الصفحة:	Sayfa:	Lehekülg :	Страница :	გვერდი:	Oldal:	Pagina	Stranica:	页：	Seite
PHP	PAGINATE_RESULTS	Paginate results	Paginer les résultats	Paginar los resultados	Hasil berdasarkan Halaman	ដាក់​លេខ​ទំព័រ​លទ្ធ​ផល	نتائج  أرقام الصفحات	Sonuçları sayfalandır	Pagineeri tulemused	Вывод результатов по страницам	შედეგების დანომვრა	Oldalszámozási eredmények	Risultati impaginati	Obeleži stranice u rezultatima	把结果页数化	Ergebnisse durchnummerieren
PHP	PASSWORD	Password	Mot de passe	Contraseña	Kata Sandi	លេខ​សំងាត់	كلمة المرور	Şifre	Parool	Пароль	პაროლი	Jelszó	Password	Lozinka	密码	Passwort
PHP	PASSWORD_INVALID	Password invalid	Mot de passe incorrect	Contraseña inválida	Kata sandi salah	លេខ​សំងាត់មិន​ត្រឹម​ត្រូវ	كلمة المرور غير صحيحة	Şifre geçersiz	Parool on vigane	Неправильный пароль	არასწორი პაროლი	A jelszó érvénytelen	Password non valida	Neispravna lozinka	密码不符	ungültiges Passwort
PHP	PASSWORD_MISMATCH	Password mismatch	Mot de passe erroné	No coinciden las contraseñas	Kata sandi tidak sama	លេខ​សំងាត់​មិន​ត្រូវ​គ្នា​ទេ	عدم تطابق كلمة المرور	Şifre uyumsuz	Parool on vale	Пароль не совпадает	პაროლის არდამთხვევა	A jelszó nem egyezik	Password non corrispondente	Lozinka se ne podudara	密码不匹配	Passwort Nichtübereinstimmung
PHP	PASSWORD_REQUIRED	Password Required	Mot de passe requis	Debe ingresar una contraseña	Kata kunci diwajibkan	ចាំ​បាច់​ត្រូវ​មាន​លេខ​សំងាត់	كلمة المرور مطلوبة	Şifre Gerekiyor	Parool nõutav	Необходим пароль	მოთხოვნილი  პაროლი	Jelszó kötelező	Password Richiesta	Neophodna lozinka	需要密码	Passwort erforderlich
PHP	PERMISSION_DENIED	Permission Denied	Autorisation refusée	Permiso denegado	Tidak diperkenankan	ការអនុញ្ញាតិ​ឲ្យ​ចូលត្រូវ​បាន​បដិសេធ	رفض التصريح	İzin Verilmedi	Luba keelatud	В доступе отказано	ნებართვაზე უარი	Hozzáférés megtagadva	Password Negata	Zabranjen pristup	密码被否认	Erlaubnis verweigert
PHP	PERMISSIONS	Permissions	Permissions	Permisos	Ijin	ការអនុញ្ញាតិ	التصريحات	İzinler	Load	Права	ნებართვები	Engedélyek	Permessi	Dozvole/pristupi	准许 （许可）	Erlaubnis(se)
PHP	PERMISSIONS_OF_	Permissions of	Permissions de	Permisos de	Ijin untuk	Permissions of	التصريحات الخاصة بـ	İzinleri	Load	Права	რაღაცის ნებართვა	Engedélyei	Permessi di	Dozvola/pristup...	准许于	Erlaubnisse von
PHP	PERMISSONS	Permissions	Permissions	Permisos	Ijin	ការអនុញ្ញាតិ	تصريحات	İzinler	Load	Права	ნებართვები	Engedélyek	Permessi	Dozvola/pristup	准许 （许可）	Erlaubnisse
PHP	PERPETRATOR	Perpetrator	Auteur	Perpetrador	Pelaku	ជន​ប្រព្រឹត្តិ	الجاني	Fail	Toimepanija	Правонарушитель	სამართალდამრღვევი მხარე	Elkövető szerkesztése	Autore	Počinilac	侵权者	Täter_in
PHP	PERPETRATOR_NAME_S_	Perpetrator name(s)	Nom(s) des auteurs	Nombre del perpetrador	Nama pelaku	ឈ្មោះ​ជន​ប្រព្រឹត្តិ	اسم (أسماء) الجاني (الجناة)	Fail isim(ler)i	Toimepanija nimed	Имя (имена) правонарушителя(й)	სამართალდამრღვევი მხარის სახელი (სახელები)	Elkövető(k) neve	Nome/i Autore	Ime/na počinioca/laca	侵权者名字	Name(n) Täter_in(nen)
PHP	PERPETRATOR_SEARCH_FORM	Perpetrator Search Form	Formulaire de recherche d'auteurs	Formulario para búsqueda de perpetradores	Form Pencarian Pelaku	ទំរង់​ស្វែង​រក​អ្នក​ប្រព្រឹត្តិ	نموذج البحث في الجناة	Fail Arama Formu	Toimepanija Otsingu vorm	Форма поиска правонарушителей	სამართალდამრღვევი მხარის ძიების ფორმა	Elkövető kereső	Modulo Ricerca Autore	Obrazac za pretragu počinioca	侵权者搜索表	Täter_in Suchformular
PHP	PERPETRATORS	Perpetrators	Auteurs	Perpetradores	Pelaku	ជន​ប្រព្រឹត្តិ	الجناة	Failler	Toimepanijad	Правонарушители	სამართალდამრღვევი მხარეები	Elkövetők	Autori	Počinioci	侵权者（多名）	Täter_innen
PHP	PERSON	Person	Personne	Persona	Orang	បុគ្គល	الشخص	Kişi	Isik	Человек	პირი	Személy  	Persona	Osoba	人士	Person
PHP	PERSON_ADDRESS_ES_	Person Address(es)	Adresses des Personnes	Dirección(es) de personas	Rincian Orang	អសយ​ដ្ឋាន​បុគ្គល	عنوان (عناوين) الشخص	Kişi Adres(leri)	Isiku Aadress(id)	Адрес(а) человека	პირის მისამართი (მისამართები)	Személy cím(ei)	Indirizzo/i Persona	Adresa osobe	人士的地址	Adresse Person(en)
PHP	PERSON_DETAIL_S_	Person Detail(s)	Détails sur la Personne	Detalles de la persona	Rincian Orang	ពត៌មាន​លំអិត​អំពី​បុគ្គល	تفاصيل الشخص	Kişi Detay(ları)	Isiku üksikasi/-jad	Данные человека	პირის დეტალი (დეტალები)	Személy adata(i)	Dettaglio/i Persona	Podaci o osobi	人士的信息	Detail(s) Person
PHP	PERSON_DOES_NOT_EXIST_	Person does not exist.	La Personne n'existe pas	La persona no existe	Orang tidak tersedia	មិន​មាន​បុគ្គល​នេះ​ទេ	الشخص غير موجود	Böyle bir Kişi yok.	Isik ei eksisteeri	Человек не существует.	პირი არ არსებობს.	Személy nem létezik.	La Persona non esiste	Osoba ne postoji	人士不存在	Person existiert nicht.
PHP	PERSON_NAME	Person Name	Nom de la Personne	Nombre de la persona	Nama Orang	ឈ្មោះ​បុគ្គល	اسم الشخص	Kişi Adı	Isiku nimi	Имя человека	პირის სახელი	Személy neve	Nome Persona	Ime osobe	人士名字	Name Person
PHP	PERSON_RECORD_S_	Person record(s)	Enregistrement des Personnes	Registros de personas	Catatan Orang	ពត៌មាន​លំអិត​អំពី​បុគ្គល	سجل (سجلات) الشخص	Kişi kayıt(ları)	Isiku kirje(d)	Запись(и) человека	პირის შესახებ ჩანაწერი (ჩანაწერები)	Személy adata(i)	Registrazione/i Persona	Beleška o osobi	人士纪录	Einträg(e) Person
PHP	PERSON_RECORDS_S_	Person records(s)	Enregistrements des Personnes	Registros de personas	Catatan Orang	ពត៌មាន​លំអិត​អំពី​បុគ្គល	سجل (سجلات) الشخص	Kişi kayıt(ları)	Isiku kirjed	Записи человека	პირის შესახებ ჩანაწერი (ჩანაწერები)	Személy adata(i)	Registrazione/i Persona	Beleške o osobi	人士纪录（多项）	Einträg(e) Person
JS	PERSON_S_DATE_OF_BIRTH_IS_NOT_ENTERED_	Person's date of birth is not entered	La date de naissance de la Personne n'est pas enregistré	Fecha de nacimiento de persona no se ha introducido	Tanggal lahir orang tidak dimasukkan	Person's date of birth is not entered	لم يتم إدخال تاريخ ميلاد الشخص	Kişinin doğum tarihi girilmedi	Isiku sünnikuupäev ei ole sisestatud	Не введена дата рождения человека	პირის დაბადების თარიღი არ არის შეყვანილი	A személy születési időpontja nincs beírva	La data di nascita della Persona non è stata inserita	Datum rođenja osobe nije unet	此人的出生年月日还没输入	Geburtsdatum der Person wurde nicht eingegeben
PHP	PERSON_SEARCH_FORM	Person Search Form	Formulaire de recherche de Personnes	Formulario para búsqueda de personas	Form Pecarian Orang	ទំរង់​ស្វែង​រក​បុគ្គល	نموذج البحث في الأشخاص	Kişi Arama Formu	Isiku Otsingu vorm	Форма поиска человека	პირის ძიების ფორმა	Személy keresési űrlap	Modulo Ricerca Persona	Obrazac za pretraživanje osoba	人士搜索表	Person Suchformular
PHP	PERSONS	Persons	Personnes	Personas	Orang	បុគ្គល	الأشخاص	Kişiler	Isikud	Люди	პირები	Személyek	Persone	Osobe	人士（多名）	Personen
PHP	PHONE	Phone	Téléphone	Teléfono	Telpon	លេខទូរស័ព្ទ	رقم الهاتف	Telefon	Telefon	Телефон	ტელეფონი	Telefon	Telefono	Telefon	电话	Telefon
PHP	PHONE_NUMBER_REQUIRED__INVAILD_PHONE_NUMBER	Phone number required, invalid phone number	Numéro de téléphone nécessaire, numéro de téléphone non valide	Es necesario que ingrese un número de teléfono. Número de teléfono no válido	Nomor telpon diwajibkan, nomor telpon tidak sesuai	ចាំ​បាច់​ត្រូវ​មាន​លេខ​ទូរស័ព្ទ លេខ​ទូរស័ព្ទ​មិន​ត្រឹម​ត្រូវ	رقم الهاتف مطلوب، رقم الهاتف غير صحيح	Telefon numarası gerekiyor, geçersiz telefon numarası	Telefoni number nõutud, vigane telefoni number	Необходим номер телефона, Неверный номер телефона	პირის მოთხოვნილი ნომერი, არასწორი ტელეფონის ნომერი	Telefonszám kötelező, érvénytelen telefonszám	Numero di telefono richiesto, numero di telefono non valido	Potreban broj telefona; neispravan broj telefona	需要电话号码，号码无效	Telefonnummer erfoderlich, ungültige Telefonnummer
PHP	PICTURE	Picture	Image	Ilustración	Gambar	រូប​ភាព	صورة	Fotoğraf	Pilt	Картинка	სურათი	Kép	Immagine	Fotografija	图片	Bild
JS	PLEASE_ADD_A_CONDITION_BEFORE_SEARCH_	Please add a condition before search.	Veuillez ajouter une condition avant de chercher.	Por favor, añada una condición antes de buscar.	Silahkan masukkan kondisi sebelum pencarian	សូម​ដាក់​លក្ខខណ្ឌ​មុន​នឹង​ស្វែង​រក	يرجى إضافة شرط قبل البحث.	Arama yapmadan önce bir koşul ekleyin.	Palun lisage tingimus enne otsingut	Пожалуйста, добавить условие перед поиском.	გთხოვთ დაამატეთ პირობა ძიების წინ.	Határozz meg egy feltételt keresés előtt!	Si prega di inserire un requisito prima della ricerca	Molimo dodajte stanje pre pretrage	请在索搜前添加一项条件	Bitte ergänze einen Zustand vor der Suche.
JS	PLEASE_ADD_A_CONDITION_INSIDE_THE_COUNT_BOX_TO_COUNT_	Please add a condition inside the count box to count.	Veuillez ajouter une condition dans la boîte pour compter pour permettre la compte.	Por favor, añada una condición dentro de la caja contar por contar.	Silahkan masukan kondisi ke dalam kotak hitungan untuk menghitung	សូម​ដាក់​លក្ខខណ្ឌ​នៅ​ក្នុង​ប្រអប់​ដើម្បី​ជ្រើស​រើស	يرجى إضافة شرط داخل مربع العد من أجل القيام بالعد	Listelemek için listeleme kutusuna bir koşul ekleyin.	Palun lisage loendamiseks tingimus loenduskasti	Пожалуйста, добавить условие в поле счетчика для подсчета.	გთხოვთ დაამატეთ პირობა თვლის ყუთში დასათვლელად.	Határozz meg egy feltételt a számláló dobozban a számoláshoz!	Si prega di inserire un parametro dentro il count box per il conteggio	Molimo dodajte stanje unutar polja za brojanje radi brojanja	统计时请在统计单元内添加一项条件	Bitte ergänze einen (Zu)Stand in der countbox vor dem Zählen.
PHP	PLEASE_SELECT_A_USER_TO_DELETE	Please select a user to delete	S'il vous plaît sélectionner un utilisateur à supprimer	Por favor, elija el o la usuario(a) que desea borrar	Silahkan pilih pengguna yang akan dihapus	សូម​ជ្រើសរើស​អ្នក​ប្រើ​ប្រាស់​ដែល​ត្រូវ​លុបចេញ	يرجى اختيار المستخدم المراد حذفه	Lütfen silinecek kullanıcıyı seçin	Palun valige kasutaja, keda kustutada	Пожалуйста, выберите пользователя для удаления	გთხოვთ შეარჩიეთ მომხმარებელი წასაშლელად	Válaszd ki a törlendő felhazsnálót!	Si prega di selezionare un utente da cancellare	Molimo izaberite korisnika za brisanje	请选择删除一个用户	Bitte Benutzer_in auswählen um zu löschen
PHP	PLEASE_SELECT_A_VALID_USER_	Please select a valid user.	Choisir un utilisateur valide.	Por favor, elija un(a) usuario(a) válido(a)	Silahkan pilih pengguna yang valid	សូម​ជ្រើស​រើស​អ្នក​ប្រើ​ប្រាស់​ដែល​ត្រឹម​ត្រូវ។	يرجى اختيار مستخدم صحيح	Lütfen geçerli bir kullanıcı seçin.	Palun valige kehtiv kasutaja.	Пожалуйста, введите существующего пользователя.	გთხოვთ შეარჩიეთ ზუსტი მომხმარებელი.	Válassz érvényes felhasználót!	Si prega di selezionare un utente valido	Molimo izaberite validnog korisnika	请选择一个有效的用户	Bitte gültige_n Benutzer_in auswählen.
PHP	PLEASE_UPLOAD_A_VALID_OPENEVSYS_XML_FILE_	Please upload a valid OpenEvSys XML file.	Veuillez télécharger un fichier XML valide d'OpenEvSys.	Por favor, cargue un archivo OpenEvSys en formato XML válido	Silahkan unggah file OpenEvSys XML yang valid	សូម​ធ្វើ​ការ​ដាក់​បញ្ចូល​សំណុំ​xml​របស់​អូផែន​អែវស៊ីស​ដែល​ត្រឹម​ត្រូវ	يرجى تحميل ملف OpenEvSys XML صحيح	Lütfen geçerli bir OpenEvSys XML dosyası yükleyin.	Palun laadige üles sobiv OpenEvSys XML fail.	Пожалуйста, загрузите корректный файл формата OpenEvSys XML.	გთხოვთ ჩატვირთეთ ვალიდური OpenEvSys XML ფაილი	Érvényes OpenEcSys XML fájlt tölts fel.	Si prega di caricare un file XML OpenEvSys valido	Molimo otpremite validan OpenEvSys XML fajl	请上传一个有效的 OpenEvSys XML 文件	Bitte gültige OpenEvSys XML Datei hochladen.
PHP	PLEASE_USE_MY_PREFERENCE_OPTION_AT_TOP_RIGHT_CORNER_TO_EDIT_YOUR_DETAILS_	Please use My Preference option at top right corner to edit your details.	Utilisez l'option Mes Préférences en haut à droite de l'écran pour modifier vos coordonnées.	Para modificar su información personal, por favor ingrese a Mis preferencias en la esquina superior derecha	Silahkan gunakan Preferensi Saya di sebelah kanan atas untuk memperbaharui rincian anda	សូម​ជ្រើស​រើស​យក​ជំរើស​របស់​ខ្ញុំ​នៅ​ខាង​ស្តាំ​ដៃ​ផ្នែក​ខាង​លើដើម្បីកែ​ប្រែ​ពត៌មាន​លំអិត។	يرجى استخدام خيار تفضيلاتي في أعلى الزاوية اليمنى من أجل تعديل التفاصيل الخاصة بك.	Detayları düzenlemek için lütfen sağ üst köşedeki Tercihlerim bölümünü kullanın.	Palun kasutage Minu eelistuste nuppu üleval paremal nurgas, et redigeerida enda üksikasju	Пожалуйста, используйте меню "Мои настройки" в верхнем правом углу, чтобы редактировать свои данные.	გთხოვთ გამოიყენეთ ჩემი პრეფერნციის ვარიანტი მარჯვენა ზედა კუთხეში თქვენი დეტალების რედაქტირებისთვის.	Használd a Tulajdonságaim opciót a jobb felső sarokban az adataid szerkesztéséhez.	Si prega di utilizzare l'opzione Mie Preferenze nell'angolo a destra per modificare i dettagli	Molimo koristite opciju Moje preferencije u gornjem desnom uglu kako biste izmenili svoje podatke 	请在上右角“我的设置”选项里编辑你的信息	Bitte nutze Meine Präferenz Option auf der rechten oberen Ecke um deine Details zu bearbeiten.
PHP	PREVIOUS	Previous	Précédent	Anterior	Sebelumnya	មុន	السابق	Önceki	Eelmine	Предыдущий	წინა	Előző	Precedente	Prethodno	前	vorher
PHP	PRINT_THIS_EVENT	Print this Event	Imprimer cet Evénement	Imprimir este evento	Cetak Peristiwa	បោះ​ពុម្ព​ព្រឹត្តិការណ៍​នេះ	طباعة هذا الحدث	Olayı Yazdır	Prindi see Sündmus	Распечатать это событие	დაბეჭდეთ მოცემული შემთხვევა	Esemény nyomtatása	Stampa questo Evento	Odštampaj ovaj događaj	打印此事件	Ereignis drucken
PHP	PRINT_THIS_PAGE	Print this page	Imprimer cette page	Imprimir esta página	Cetak Halaman Ini	បោះ​ពុម្ព​ទំព័រ​នេះ	طباعة هذه الصفحة	Sayfayı Yazdır	Prindi see lehekülg	Распечатать эту страницу	დაბეჭდეთ მოცემული გვერდი	Oldal nyomtatása	Stampa questa pagina	Odštampaj ovu stranu	打印此页	Seite drucken
PHP	PRINT_THIS_PERSON	Print this Person	Imprimer cette Personne	Imprimir esta persona	Cetak Orang ini	បោះ​ពុម្ព​បុគ្គល​នេះ	طباعة هذا الشخص	Kişiyi Yazdır	Prindi see Isik	Распечатать этого человека	დაბეჭდეთ მოცემული პირი	Személy nyomtatása	Stampa questa Persona	Odštampaju ovu osobu	打印此人士	Person drucken
PHP	PRINTABLE_VIEW	Printable view	Version imprimable	Vista de impresión	Lihat hasil Cetak	មើល​អត្ថបទនេះក្នុង​ទំរង់​អាច​បោះ​ពុម្ពបាន	العرض المهيأ للطباعة	Yazdırma görüntüsü	Printimise eelvaade	Версия для печати	დასაბეჭდი ხედი	Nyomtatási nézet	Versione stampabile	Pregled za štampu	可列印的显示模式	Druckansicht
PHP	QUERIES_DELETED_SUCCESSFULLY_	Queries deleted successfully.	Requêtes ont été supprimés.	Las consultas fueron borradas correctamente	Pertanyaan telah dihapus	សំណួរ​ស្វែង​រក​ត្រូវ​បាន​លុប​ចោល​ជា​ស្ថាពរ	تم حذف الاستفسارات بنجاح	Sorgulamalar başarıyla silindi.	Päringud edukalt kustutatud	Запросы успешно удалены.	კითხვები წაშლილია წარმატებით.	A lekérdezések törölve.	Queries cancellate con successo	Upit uspešno obrisan	查询删除成功。	Fragen erfolgreich gelöscht
PHP	QUERY_ID	Query ID	ID Requête	Identificación de la consulta	ID Pertanyaan	លេខ​សំគាល់​សំណួរ​ស្វែង​រក	هوية الاستفسار	Sorgulama Kimliği	Päringu ID	Идентификатор запроса	შეკითხვის  იდენტიფიკატორი	Lekérdezés azonosító	ID Query	Upit ID	查询ID	Fragen ID
PHP	QUERY_WAS_SAVED_SUCCESSFULLY_	Query was saved successfully.	Requête a été enregistré.	La consulta fue guardada correctamente	Pertanyaan telah disimpan	ការ​ស្វែង​រក​ត្រូវ​បាន​រក្សា​ទុក​រួច​រាល់​ជា​ស្ថាពរ​ហើយ	تم حفظ الاستفسار بنجاح	Sorgu başarıyla kaydedildi.	Päring edukalt salvestatud	Запрос успешно сохранен.	შეკითხვა შენახული წარმატებით.	A lekérdezést mentettük.	Query salvata con successo	Upit uspešno sačuvan	查询已保存成功。	Frage wurde erfolgreich gespeichert
